rank,title,link,ratings_link,10_ratings,9_ratings,8_ratings,7_ratings,6_ratings,5_ratings,4_ratings,3_ratings,2_ratings,1_ratings,overall_ratings,10_sample,9_sample,8_sample,7_sample,6_sample,5_sample,4_sample,3_sample,2_sample,1_sample,overall_sample,nature,timerange,parentalGuide,runtime,storyline,genres,languages,countries,releaseDate,releaseCountry
250,Mr. Sunshine,https://www.imdb.com/title/tt7094780/?ref_=chttvtp_t_250,https://www.imdb.com/title/tt7094780/ratings/?ref_=tt_ov_rat,46.1%,25.6%,15.2%,5.8%,2.4%,1.4%,0.7%,0.5%,0.4%,2.0%,8.7,"5,500","3,100","1,800",692,292,164,79,54,49,241,"1,012,000",TV Series,2018,15,1h 20m,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.,"Korean Drama, Action, Drama, Romance, War, Back to top","Korean, Japanese, English",South Korea,"July 8, 2018",United Kingdom
249,Pod prikritie,https://www.imdb.com/title/tt1909015/?ref_=chttvtp_t_249,https://www.imdb.com/title/tt1909015/ratings/?ref_=tt_ov_rat,78.8%,5.7%,3.1%,1.7%,0.8%,0.6%,0.4%,0.3%,0.4%,8.1%,8.9,"22,000","1,600",871,474,230,172,107,89,123,"2,300","1,028,000",TV Series,2011–2016,,,Trained young policeman goes undercover in the gang of the most dangerous mafia boss in Bulgaria.,"Action, Crime, Drama, Back to top",Bulgarian,Bulgaria,"April 17, 2011",Bulgaria
248,Foyle's War,https://www.imdb.com/title/tt0310455/?ref_=chttvtp_t_248,https://www.imdb.com/title/tt0310455/ratings/?ref_=tt_ov_rat,35.3%,28.9%,19.1%,7.7%,2.6%,1.4%,0.7%,0.5%,0.6%,3.2%,8.6,"6,900","5,600","3,700","1,500",514,280,134,94,109,631,"1,019,000",TV Series,2002–2015,PG,1h 30m,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war.","Period Drama, Police Procedural, Whodunnit, Crime, Drama, Mystery, War, Back to top",English,United Kingdom,"October 27, 2002",United Kingdom
247,Letterkenny,https://www.imdb.com/title/tt4647692/?ref_=chttvtp_t_247,https://www.imdb.com/title/tt4647692/ratings/?ref_=tt_ov_rat,42.9%,25.8%,15.9%,6.8%,2.6%,1.3%,0.8%,0.7%,0.7%,2.6%,8.6,"14,000","8,300","5,100","2,200",824,417,259,211,236,839,"1,032,000",TV Series,2016–2023,18,30m,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Quirky Comedy, Sitcom, Comedy, Back to top",English,Canada,"February 7, 2016",Canada
246,Gintama,https://www.imdb.com/title/tt0988818/?ref_=chttvtp_t_246,https://www.imdb.com/title/tt0988818/ratings/?ref_=tt_ov_rat,55.6%,17.7%,9.8%,4.7%,2.3%,1.7%,1.0%,0.7%,1.2%,5.2%,8.7,"9,800","3,100","1,700",827,410,293,179,132,205,924,"1,018,000",TV Series,2005–2021,TV-14,25m,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.","Anime, Parody, Satire, Sh≈çnen, Slapstick, Action, Animation, Comedy, Sci-Fi, Back to top","English, Japanese",Japan,"April 4, 2006",Japan
245,From the Earth to the Moon,https://www.imdb.com/title/tt0120570/?ref_=chttvtp_t_245,https://www.imdb.com/title/tt0120570/ratings/?ref_=tt_ov_rat,35.2%,29.3%,17.1%,7.6%,2.8%,1.6%,0.7%,0.4%,0.6%,4.7%,8.5,"4,900","4,100","2,400","1,100",391,218,104,57,81,655,"1,014,000",TV Mini Series,1998,PG,53m,Dramatized portrayal of the Apollo manned space program.,"Docudrama, Action, Drama, History, Thriller, Back to top",English,United States,"March 21, 2005",United Kingdom
244,Wentworth Prison,https://www.imdb.com/title/tt2433738/?ref_=chttvtp_t_244,https://www.imdb.com/title/tt2433738/ratings/?ref_=tt_ov_rat,46.0%,24.7%,15.4%,6.0%,2.2%,1.3%,0.6%,0.6%,0.7%,2.5%,8.6,"12,000","6,400","4,000","1,600",576,332,159,151,191,651,"1,026,000",TV Series,2013–2021,18,45m,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,"Prison Drama, Crime, Drama, Thriller, Back to top",English,Australia,"August 28, 2013",United Kingdom
243,Umbre,https://www.imdb.com/title/tt4269716/?ref_=chttvtp_t_243,https://www.imdb.com/title/tt4269716/ratings/?ref_=tt_ov_rat,51.9%,23.9%,11.0%,4.9%,2.2%,1.4%,0.5%,0.4%,0.5%,3.3%,8.7,"6,300","2,900","1,300",594,264,174,59,54,66,405,"1,012,000",TV Series,2014–2019,TV-MA,45m,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.","Gangster, Crime, Drama, Thriller, Back to top","Romanian, Spanish, English, Ukrainian",Romania,"December 28, 2014",Romania
242,All Creatures Great & Small,https://www.imdb.com/title/tt10590066/?ref_=chttvtp_t_242,https://www.imdb.com/title/tt10590066/ratings/?ref_=tt_ov_rat,42.2%,25.8%,19.2%,6.9%,2.0%,1.0%,0.4%,0.4%,0.4%,1.6%,8.6,"8,200","5,000","3,700","1,300",397,203,84,83,78,313,"1,019,000",TV Series,2020–,12,,"James Herriot, fresh out of Glasgow Veterinary College, pursues his dream to become a vet in the Yorkshire Dales. He discovers that treating the animals is as much about treating their owners, and the Dales' farmers are a tough to please.","Period Drama, Comedy, Drama, Back to top",English,United Kingdom,"September 16, 2020",United Kingdom
241,Extraordinary Attorney Woo,https://www.imdb.com/title/tt20869502/?ref_=chttvtp_t_241,https://www.imdb.com/title/tt20869502/ratings/?ref_=tt_ov_rat,38.4%,27.5%,19.5%,8.2%,2.6%,1.2%,0.5%,0.4%,0.4%,1.4%,8.6,"12,000","8,700","6,200","2,600",815,372,163,117,119,448,"1,032,000",TV Series,2022,15,1h 15m,"Follows the brilliant attorney Woo Young-woo, who tackles challenges in and out of the courtroom as a rookie at a prominent law firm and a woman on the autism spectrum.","Korean Drama, Legal Drama, Drama, Back to top",Korean,South Korea,"June 30, 2022",United Kingdom
240,Avrupa Yakasi,https://www.imdb.com/title/tt0421291/?ref_=chttvtp_t_240,https://www.imdb.com/title/tt0421291/ratings/?ref_=tt_ov_rat,41.2%,23.2%,16.2%,7.0%,2.6%,1.4%,0.7%,0.7%,0.8%,6.3%,8.6,"9,300","5,200","3,700","1,600",588,306,155,149,182,"1,400","1,023,000",TV Series,2004–2009,,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"Sitcom, Comedy, Back to top",Turkish,Turkey,"February 11, 2004",Turkey
