title,overall_rating,genres,language,seasons,episodes
Mr. Sunshine,8.7,"Korean Drama, Action, Drama, Romance, War",Korean,1,24
Pod prikritie,8.9,"Action, Crime, Drama",Bulgarian,5,60
Foyle's War,8.6,"Period Drama, Police Procedural, Whodunnit, Crime, Drama, Mystery, War",English,8,28
Letterkenny,8.6,"Quirky Comedy, Sitcom, Comedy",English,12,81
Gintama,8.7,"Anime, Parody, Satire, Sh≈çnen, Slapstick, Action, Animation, Comedy, Sci-Fi",Japanese,9,225
From the Earth to the Moon,8.5,"Docudrama, Action, Drama, History, Thriller",English,1,12
Wentworth Prison,8.6,"Prison Drama, Crime, Drama, Thriller",English,9,100
Umbre,8.7,"Gangster, Crime, Drama, Thriller","English, Romanian",3,21
All Creatures Great & Small,8.6,"Period Drama, Comedy, Drama",English,5,35
Extraordinary Attorney Woo,8.6,"Korean Drama, Legal Drama, Drama",Korean,1,16
Avrupa Yakasi,8.6,"Sitcom, Comedy",Turkish,6,190
Doctor Who,8.5,"Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi",English,15,175
Hannibal,8.5,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Drama, Horror, Mystery, Thriller",English,3,39
North & South,8.5,"Coming-of-Age, Costume Drama, Period Drama, Drama, Romance",English,1,4
The Expanse,8.5,"Dystopian Sci-Fi, Space Sci-Fi, Drama, Mystery, Sci-Fi",English,6,62
Fullmetal Alchemist,8.5,"Anime, Sh≈çnen, Steampunk, Action, Adventure, Animation, Comedy, Drama, Fantasy, Sci-Fi",Japanese,1,51
Futurama,8.5,"Adult Animation, Hand-Drawn Animation, Satire, Sitcom, Space Sci-Fi, Adventure, Animation, Comedy, Sci-Fi",English,14,180
Rurôni Kenshin: Meiji kenkaku romantan - Tsuioku-hen,8.6,"Anime, Samurai, Sh≈çnen, Action, Adventure, Animation, Drama, History, Romance",Japanese,1,4
Shameless,8.5,"Dark Comedy, Comedy, Drama",English,11,134
My Brilliant Friend,8.6,"Coming-of-Age, Drama",Italian,4,34
Silicon Valley,8.5,"Quirky Comedy, Sitcom, Comedy",English,6,53
Skam,8.6,"Coming-of-Age, Teen Drama, Drama, Romance",Norwegian,4,43
